Ticker,Price difference,Signal affected,Support affected,Prior-high affected,Trade affected,P&L impact,Decision
ANF,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
AR,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
BMRN,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
CNC,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
COO,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
DNLI,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
DOC,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
ELV,已证实2个日期价格锚点改变；完整旧OHLCV缺失,信号收盘价改变；资格/分数/排名未重验,342.6080→341.1233，整套支撑不同,本账户未使用；独立前高研究内部同源，非本批事件,同29股、同2/24止损；成交价325.477600→324.067135,混合比支撑同源诊断高40.86258美元；比原账户高43.19334美元,BLOCK：停止策略接入，统一派生输入后重验
GKOS,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
MRNA,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
MXL,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
NVAX,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
PNFP,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
REGN,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
SBUX,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
SGML,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
VCEL,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
WEX,2026-02-02至27原始窗口哈希完全相同,信号收盘价相同；资格/分数/排名未重验,完整支撑计划重算一致,本账户未使用；独立前高研究内部同源，非本批事件,原/混合/支撑同源对照的交易字段全部相同,0.00美元（固定候选对照）,保留现有证据，无需重扫；随账户整体暂停接入
